"Wavelength","I1","I1.dark","R1","R1dark","XCorrect","I1c","R1c","I1c.R1c","Abs","Percent.T"
"nm","uA","uA","uA","uA","","uA","uA","uA/uA","OD","T*100"
"","Abs Detector Raw","Dark Offset for Abs Detector","Ref Detector Raw","Dark Offset for Ref Detector","Linear interp","Dark subtracted Abs Detector","Corrected Ref Detector","Corrected Intensity ","-Log(T)","% Transmittance"
"680","0.388314823887824","","0.597829224295763","","1.06094348430634","0.388086802872614","0.629023667554407","0.616966932868303","5.5597342584538E-4","99.8720642953442"
"678","0.39642446283247","","0.61063197998191","","1.05921316146851","0.39619644181726","0.641558622329313","0.617552984291265","4.8031928251068E-4","99.8894635346285"
"676","0.404753567413446","","0.623893924508996","","1.05730748176575","0.404525546398236","0.654426317520038","0.618137650593263","6.27645823307889E-4","99.8555835893631"
"674","0.41109940936807","","0.634104669707454","","1.05524814128876","0.41087138835286","0.663926547226205","0.618850669655288","5.56348309766984E-4","99.8719780856028"
"672","0.416441683821821","","0.642860222345808","","1.05312037467957","0.416213662806611","0.671808479099638","0.619542139992671","6.34803786886092E-4","99.8539378011481"
"670","0.422235320883632","","0.652054774921373","","1.0509113073349","0.422007299868422","0.680061926078893","0.620542458981104","5.89350547666495E-4","99.8643890562954"
"668","0.426592414677257","","0.659245787465881","","1.0485315322876","0.426364393662047","0.686061938055342","0.621466328347243","5.14709877318618E-4","99.8815538737915"
"666","0.428335993771852","","0.662545737098692","","1.04595601558685","0.428107972756642","0.687828360595311","0.622405235495259","5.78545772084298E-4","99.8668736048674"
"664","0.43361202677079","","0.671090970218843","","1.04322910308838","0.43338400575558","0.694949758785028","0.623619190131471","5.92667164845907E-4","99.8636264155126"
"662","0.439596247633109","","0.680685271022792","","1.04042720794678","0.439368226617899","0.703065440704592","0.624932191486438","4.67892185043285E-4","99.8923218575207"
"660","0.448068838236461","","0.69415735501437","","1.03775990009308","0.447840817221251","0.715243804278865","0.626137289889258","5.34703554375158E-4","99.8769557182821"
"658","0.459122201229403","","0.711698208826116","","1.03528940677643","0.458894180214193","0.731700953569195","0.627160833911359","5.91269786010768E-4","99.8639477356036"
"656","0.475706093985403","","0.73766600199628","","1.03309750556946","0.475478072970193","0.756979068218504","0.628125787003855","5.21314851326107E-4","99.8800348352634"
"654","0.493925274210454","","0.766206782521885","","1.03115320205688","0.493697253195244","0.784984340576915","0.628926244353368","4.90923621895768E-4","99.8870245240393"
"652","0.506418769338755","","0.785658917148748","","1.02945709228516","0.506190748323545","0.803718283769155","0.629811164615653","5.2966931551757E-4","99.8781134750269"
"650","0.510994790133459","","0.793071093632802","","1.02793705463409","0.510766769118249","0.810150810036374","0.630458876039779","6.00882249521807E-4","99.8617374198608"
"648","0.512923525477314","","0.79635758959135","","1.02666783332825","0.512695504462104","0.812524634902088","0.630990720083073","6.12381820203983E-4","99.8590932418843"
"646","0.516414968334457","","0.802219621123102","","1.02560043334961","0.516186947319247","0.817691976144622","0.631273098401972","5.43550437758784E-4","99.8749211753232"
