"Wavelength","I1","I1.dark","R1","R1dark","XCorrect","I1c","R1c","I1c.R1c","Abs","Percent.T"
"nm","uA","uA","uA","uA","","uA","uA","uA/uA","OD","T*100"
"","Abs Detector Raw","Dark Offset for Abs Detector","Ref Detector Raw","Dark Offset for Ref Detector","Linear interp","Dark subtracted Abs Detector","Corrected Ref Detector","Corrected Intensity ","-Log(T)","% Transmittance"
"670","0.420376063383737","","0.650687965844803","","1.0509113073349","0.420137526845612","0.678617299328265","0.619108188461286","0.00159430472817347","99.6335707663782"
"668","0.423809057449609","","0.656524765443063","","1.0485315322876","0.423570520911484","0.68320064766771","0.619979682919589","0.00155485533437667","99.6426214512284"
"666","0.426993958865105","","0.66193373453766","","1.04595601558685","0.426755422326981","0.68718004001204","0.621024182133555","0.00154327138068277","99.6452792582114"
"664","0.430912620348471","","0.668623457716496","","1.04322910308838","0.430674083810346","0.692367406466852","0.622031135185976","0.00170001464338328","99.6093223012169"
"662","0.437647555319118","","0.679447804597072","","1.04042720794678","0.437409018780993","0.701769797449701","0.623294163371777","0.00160772868503142","99.6304911599339"
"660","0.445467171987091","","0.691983948040633","","1.03775990009308","0.445228635448966","0.712980201050925","0.624461429353444","0.00169865392086466","99.6096343955813"
"658","0.455815279855898","","0.708473396522107","","1.03528940677643","0.455576743317773","0.728354230279018","0.625487879905978","0.00175129991572593","99.597560259977"
"656","0.473036129396462","","0.735403430289012","","1.03309750556946","0.472797592858337","0.754633518927407","0.626526096442608","0.0016287728946825","99.6256635735053"
"654","0.491916967333713","","0.765117163080438","","1.03115320205688","0.491678430795589","0.783852699126147","0.627258707335856","0.0016439426092454","99.6221837538244"
"652","0.503321700564509","","0.783150500410724","","1.02945709228516","0.503083164026385","0.801127912778476","0.627968587789669","0.00180210436453016","99.5859098628149"
"650","0.510160857641674","","0.793904147218341","","1.02793705463409","0.509922321103549","0.810999085002368","0.62875819533392","0.00177398689035291","99.5923575498361"
"648","0.509695716347146","","0.793626838564663","","1.02666783332825","0.509457179809021","0.809713018920712","0.62918239907775","0.00185878893876785","99.5729126529558"
"646","0.512999871302204","","0.799252110148631","","1.02560043334961","0.51276133476408","0.814640462222576","0.629432686617502","0.00181154057424285","99.583746115956"
"644","0.521406746878964","","0.812770487780161","","1.02465677261353","0.521168210340839","0.827742604139189","0.629625934118527","0.00170504136941706","99.6081693833311"
"642","0.531816477367154","","0.829542004131603","","1.02378344535828","0.531577940829029","0.844207509985338","0.629676867999268","0.0018561530951817","99.5735169881029"
"640","0.545972388565472","","0.852020624952427","","1.02288675308228","0.545733852027348","0.866461184782623","0.629842238304374","0.00193248075786463","99.5560183868076"
"638","0.561330310867386","","0.876218664101342","","1.02184903621674","0.561091774329262","0.890308904371852","0.630221456366467","0.00192930427891857","99.5567465534457"
"636","0.57545094832317","","0.898544091258228","","1.02063095569611","0.575212411785045","0.912033646438462","0.630692095660373","0.00195309082500348","99.5512939253594"
