wavelength,S-Sdark,Sdark,I,Idark,Wavelength,R,Rdark,Mcorrect,XCorrect,Sc,Ic,Rc,Sc/Rc
nm,counts,counts,,,nm,uA,uA,,,counts*Mcorrect,,uA*Xcorrect,counts/uA
,Raw CCD Data,Dark Offset CCD,,,,Raw Ref Detector,Dark Offset Ref,interpolated,Linear interp,Dark Corrected CCD,,Dark Corrected Ref,Fully Corrected Emission Spectrum
437.833,27,1149,,,,,,0.567601696133613,,15.3252457956076,,,3.66355379645024
442.461,-11,1151,,,,,,0.557869588553905,,-6.13656547409296,,,-1.46696751488464
447.093,-17,1184,,,,,,0.547917538821697,,-9.31459815996885,,,-2.22668738279832
451.727,33,1145,,,,,,0.536482401967049,,17.7039192649126,,,4.23218403802755
456.364,-13,1148,,,,,,0.52982274723053,,-6.88769571399689,,,-1.64652783507326
461.004,19,1142,,,,,,0.522619229793549,,9.92976536607742,,,2.373745262551
465.647,39,1142,,,,,,0.513546663880348,,20.0283198913336,,,4.78784016602496
470.292,11,1160,,,,,,0.505145205020905,,5.55659725522995,,,1.32832407657548
474.941,21,1155,,,,,,0.499881991416216,,10.4975218197405,,,2.5094694355279
479.592,10,1188,,,,,,0.493932703018188,,4.93932703018189,,,1.18076346276407
484.246,2,1164,,,,,,0.493488289415836,,0.986976578831673,,,0.235940215289898
488.903,50,1144,,,,,,0.491688094645739,,24.5844047322869,,,5.87698823833895
493.562,-15,1201,,,,,,0.490683579266071,,-7.36025368899107,,,-1.75949447759387
498.224,1,1175,,,,,,0.488031662225723,,0.488031662225723,,,0.116665681763317
502.889,-12,1196,,,,,,0.485309463113546,,-5.82371355736256,,,-1.39217916613314
507.556,12,1156,,,,,,0.482815015792847,,5.79378018951416,,,1.38502348948794
512.226,-15,1164,,,,,,0.478441093087196,,-7.17661639630794,,,-1.71559533824225
516.898,-7,1195,,,,,,0.474601747870445,,-3.32221223509312,,,-0.794186495199786
521.573,7,1194,,,,,,0.471111143857241,,3.29777800700068,,,0.788345407214299
526.251,25,1192,,,,,,0.466922433167696,,11.6730608291924,,,2.79048616167967
530.931,9,1176,,,,,,0.467890346795321,,4.21101312115789,,,1.00665746655375
535.613,10,1208,,,,,,0.468325045645237,,4.68325045645237,,,1.11954745902875
540.298,6,1191,,,,,,0.472751305758953,,2.83650783455372,,,0.678077153510878
544.985,26,1157,,,,,,0.473658554255962,,12.315122410655,,,2.94397323625543
549.675,17,1189,,,,,,0.478926248848438,,8.14174623042345,,,1.94631301252939
554.367,-23,1221,,,,,,0.479248512685299,,-11.0227157917619,,,-2.63501889788126
559.061,-21,1209,,,,,,0.48093009057641,,-10.0995319021046,,,-2.41432854884001
563.758,-20,1234,,,,,,0.482420327425003,,-9.64840654850006,,,-2.30648544968746
568.457,16,1235,,,,,,0.485810380607843,,7.77296608972549,,,1.85815482553987
573.158,2,1230,,,,,,0.489604460775852,,0.979208921551704,,,0.234083329553963
577.861,-19,1207,,,,,,0.494130531400442,,-9.3884800966084,,,-2.24434911906505
