"Wavelength","Abs"
"516","0.00337395676349232"
"514","0.00341322392959412"
"512","0.00347482137592706"
"510","0.00357431734720038"
"508","0.00369216296127744"
"506","0.00393065275889619"
"504","0.00379262901588114"
"502","0.00386978821139368"
"500","0.0040365949881978"
"498","0.00416817694561359"
"496","0.00375474371875958"
"494","0.00382101001112062"
"492","0.00395603041966777"
"490","0.00405629830034888"
"488","0.0041806938849222"
"486","0.00422411834500475"
"484","0.00434531507687917"
"482","0.00443450139322566"
"480","0.00454864295030689"
"478","0.00464877177273169"
"476","0.00473279256265699"
"474","0.0048191515621712"
"472","0.00492987696454149"
"470","0.00513189784559707"
"468","0.00526208715075958"
"466","0.00535518826137861"
"464","0.00554669923430562"
"462","0.00566169865904004"
"460","0.0057763990494887"
"458","0.00599207811156648"
"456","0.0060762831892257"
"454","0.00625642450103077"
"452","0.00619832251825613"
"450","0.00638963519316441"
"448","0.00655636664233619"
"446","0.00676626401900183"
"444","0.00694197298666256"
"442","0.00720261190310119"
"440","0.00743095249477944"
"438","0.00767031560156289"
"436","0.00792996565428395"
"434","0.0082223859011394"
"432","0.00850639895954516"
"430","0.00887414055498016"
"428","0.00916898943508268"
"426","0.00954315797023888"
"424","0.0103468299342838"
"422","0.0100755279075952"
"420","0.0104447972065863"
"418","0.0107931629641882"
"416","0.0111535468158464"
"414","0.0115254843717315"
"412","0.0119900378820653"
"410","0.0123527160048001"
"408","0.0128429061357055"
"406","0.0133262626742383"
"404","0.0137902881205202"
"402","0.0143544723040898"
"400","0.0149003127081769"
"398","0.0154823790786963"
"396","0.0160560082899291"
"394","0.0166283686323679"
"392","0.0172693446884432"
"390","0.0179550472152473"
"388","0.0185902021084968"
"386","0.0193154345318325"
"384","0.0200759391989358"
"382","0.0208367821491539"
"380","0.0215400510919414"
"378","0.0223942209071609"
"376","0.0232559422978671"
"374","0.0241428422167211"
"372","0.025055875299716"
"370","0.026043742531068"
"368","0.0270723388419998"
"366","0.0281699561669965"
"364","0.0292181961663186"
