"Wavelength","Abs"
"638","7.17995281396399E-4"
"636","7.4181593515391E-4"
"634","7.23076867765089E-4"
"632","6.94140740566979E-4"
"630","7.43473472229572E-4"
"628","7.54052092207568E-4"
"626","7.39105210247532E-4"
"624","7.71245940994884E-4"
"622","8.05829061264033E-4"
"620","8.68389558800889E-4"
"618","8.6713776486571E-4"
"616","8.87639988796468E-4"
"614","9.1765634649791E-4"
"612","9.28681839708313E-4"
"610","9.48252357367711E-4"
"608","0.00101792829815304"
"606","0.00101282951061458"
"604","0.00109265800421502"
"602","0.00111860787919497"
"600","0.00120696554695064"
"598","0.00121218857493918"
"596","0.00123990803098894"
"594","0.00128367527525969"
"592","0.00134508401780487"
"590","0.00138493729983012"
"588","0.00142193133347851"
"586","0.00141846107657914"
"584","0.00147324362030392"
"582","0.00150222602066351"
"580","0.00151305324192153"
"578","0.0015748791420776"
"576","0.00161851120642699"
"574","0.00165056179631804"
"572","0.00170033968500498"
"570","0.00170562878486588"
"568","0.00183381409353297"
"566","0.00186149736562233"
"564","0.00189260211394373"
"562","0.001966837590443"
"560","0.00204094642874583"
"558","0.00207134847769096"
"556","0.00214844688811626"
"554","0.00220363656564012"
"552","0.00227063888998058"
"550","0.00233783293294016"
"548","0.00240188143628174"
"546","0.00248281289874172"
"544","0.00250931968033615"
"542","0.00260854672048154"
"540","0.00266721206589527"
"538","0.00276402974914536"
"536","0.00285219162029152"
"534","0.00293997793595237"
"532","0.00301887716462296"
"530","0.00307959936145117"
"528","0.00316564867994975"
"526","0.00324794618528316"
"524","0.00333257535474297"
"522","0.00340843141527894"
"520","0.00353985611010399"
"518","0.00359914098352804"
"516","0.00375187874492024"
"514","0.00383758192137751"
"512","0.00396328312282996"
"510","0.00405832958280152"
"508","0.00416571779833839"
"506","0.0042927023097799"
"504","0.00435710024710603"
"502","0.00450901958452338"
"500","0.0046447104349105"
"498","0.00480440093397953"
"496","0.00485085190036152"
"494","0.0048981178245995"
"492","0.0050777168661743"
"490","0.00521490419389679"
"488","0.00537868163230571"
"486","0.0054623638513633"
"484","0.00558274229176974"
"482","0.00574301246053505"
"480","0.00584951587734646"
"478","0.0059438870274568"
"476","0.00606327640321512"
"474","0.00620345829317426"
"472","0.00628951484388822"
"470","0.006464002288391"
"468","0.00660875612779415"
"466","0.00672506949452815"
"464","0.00683063423669642"
"462","0.00691090815664496"
"460","0.00704146757588118"
"458","0.00710683093415935"
"456","0.00719610856201126"
"454","0.00729641363917002"
"452","0.00741847448132277"
"450","0.00753130283885215"
"448","0.00762805850553129"
"446","0.00771153247804316"
"444","0.00784698647565994"
"442","0.00797071446005606"
"440","0.0081051576020258"
"438","0.00822844797688307"
"436","0.00837658458922422"
"434","0.0085453245207392"
"432","0.00868671929824383"
"430","0.00887632785879191"
"428","0.00902682537724268"
"426","0.00916582125864351"
"424","0.00929238721084698"
"422","0.00939241066451915"
"420","0.00958531831333702"
"418","0.00971078978442825"
"416","0.00990254493534295"
"414","0.0100726479027277"
"412","0.0103245676282097"
"410","0.0105264073585755"
"408","0.0108228420213781"
"406","0.0111045487602303"
"404","0.0114207149351168"
"402","0.0117964269654219"
"400","0.0121888628017353"
"398","0.0126242248933261"
"396","0.0130363980575402"
"394","0.0135155740766166"
"392","0.01403314117977"
"390","0.0146032267801376"
"388","0.0151331324540518"
"386","0.015756976262367"
"384","0.0164051549261238"
"382","0.0170850202862805"
"380","0.0177702118261961"
"378","0.0184914413934368"
"376","0.0193081012328434"
"374","0.0201214109414007"
"372","0.0209130017306729"
"370","0.0218074377752719"
"368","0.0227072939598291"
"366","0.0236264532261527"
"364","0.0244831706823799"
"362","0.0253838786623091"
"360","0.0262557233629981"
"358","0.0271375942635654"
"356","0.0279617235983601"
"354","0.0288159681964536"
"352","0.0296670361402279"
"350","0.0304839829524558"
"348","0.0312599998932898"
"346","0.0320994520419509"
"344","0.0329232631092996"
"342","0.03369272564857"
"340","0.0344421388181954"
"338","0.0351998063310517"
"336","0.0359420622882601"
"334","0.0367045111352859"
"332","0.0375150721484465"
"330","0.0382945704085861"
"328","0.0391710468194858"
"326","0.0400569871808828"
"324","0.040959506470768"
"322","0.0421090532733742"
"320","0.0432542949714254"
"318","0.0446316277135751"
"316","0.0461974699761557"
"314","0.0478966564336478"
"312","0.0498217413846471"
"310","0.0518959204772721"
"308","0.0541819671811365"
"306","0.0566084183570522"
"304","0.0591285276021993"
"302","0.061789963800796"
"300","0.0646439579674259"
"298","0.0676200203761119"
"296","0.0709411225626966"
"294","0.0748626000336334"
"292","0.0793338409230161"
"290","0.0846567334451458"
"288","0.090883509423744"
"286","0.0981843842152454"
"284","0.105823409827831"
"282","0.113669969327023"
"280","0.121138049188273"
"278","0.127945617066079"
"276","0.133801079044928"
"274","0.1388706663498"
"272","0.1426341314768"
"270","0.145074900912099"
"268","0.146304692708019"
"266","0.146049117547194"
"264","0.144524819668037"
"262","0.141857730195234"
"260","0.138318227287823"
"258","0.134375361946397"
"256","0.13031530177417"
"254","0.126422024337857"
"252","0.122949500078834"
"250","0.120470636172408"
"248","0.118943094996638"
"246","0.119122370643771"
"244","0.121023580267367"
"242","0.125320522450423"
"240","0.132283025548951"
